"""LOCATION""",INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,PISAREAD,BOY,MEANSCORE,A,2000,513
AUS,PISAREAD,BOY,MEANSCORE,A,2003,506
AUS,PISAREAD,BOY,MEANSCORE,A,2006,495
AUS,PISAREAD,BOY,MEANSCORE,A,2009,496
AUS,PISAREAD,BOY,MEANSCORE,A,2012,495.09
AUS,PISAREAD,BOY,MEANSCORE,A,2015,487
AUS,PISAREAD,GIRL,MEANSCORE,A,2000,546
AUS,PISAREAD,GIRL,MEANSCORE,A,2003,545
AUS,PISAREAD,GIRL,MEANSCORE,A,2006,532
AUS,PISAREAD,GIRL,MEANSCORE,A,2009,533
AUS,PISAREAD,GIRL,MEANSCORE,A,2012,529.542
AUS,PISAREAD,GIRL,MEANSCORE,A,2015,519
AUT,PISAREAD,BOY,MEANSCORE,A,2000,476
AUT,PISAREAD,BOY,MEANSCORE,A,2003,467
AUT,PISAREAD,BOY,MEANSCORE,A,2006,468
AUT,PISAREAD,BOY,MEANSCORE,A,2012,471.093
AUT,PISAREAD,BOY,MEANSCORE,A,2015,475
AUT,PISAREAD,GIRL,MEANSCORE,A,2000,509
AUT,PISAREAD,GIRL,MEANSCORE,A,2003,514
AUT,PISAREAD,GIRL,MEANSCORE,A,2006,513
AUT,PISAREAD,GIRL,MEANSCORE,A,2012,508.021
AUT,PISAREAD,GIRL,MEANSCORE,A,2015,495
BEL,PISAREAD,BOY,MEANSCORE,A,2000,492
BEL,PISAREAD,BOY,MEANSCORE,A,2003,489
BEL,PISAREAD,BOY,MEANSCORE,A,2006,482
BEL,PISAREAD,BOY,MEANSCORE,A,2009,493
BEL,PISAREAD,BOY,MEANSCORE,A,2012,492.755
BEL,PISAREAD,BOY,MEANSCORE,A,2015,491
BEL,PISAREAD,GIRL,MEANSCORE,A,2000,525
BEL,PISAREAD,GIRL,MEANSCORE,A,2003,526
BEL,PISAREAD,GIRL,MEANSCORE,A,2006,522
BEL,PISAREAD,GIRL,MEANSCORE,A,2009,520
BEL,PISAREAD,GIRL,MEANSCORE,A,2012,524.602
BEL,PISAREAD,GIRL,MEANSCORE,A,2015,507
CAN,PISAREAD,BOY,MEANSCORE,A,2000,519
CAN,PISAREAD,BOY,MEANSCORE,A,2003,514
CAN,PISAREAD,BOY,MEANSCORE,A,2006,511
CAN,PISAREAD,BOY,MEANSCORE,A,2009,507
CAN,PISAREAD,BOY,MEANSCORE,A,2012,505.512
CAN,PISAREAD,BOY,MEANSCORE,A,2015,514
CAN,PISAREAD,GIRL,MEANSCORE,A,2000,551
CAN,PISAREAD,GIRL,MEANSCORE,A,2003,546
CAN,PISAREAD,GIRL,MEANSCORE,A,2006,543
CAN,PISAREAD,GIRL,MEANSCORE,A,2009,542
CAN,PISAREAD,GIRL,MEANSCORE,A,2012,540.657
CAN,PISAREAD,GIRL,MEANSCORE,A,2015,540
CZE,PISAREAD,BOY,MEANSCORE,A,2000,473
CZE,PISAREAD,BOY,MEANSCORE,A,2003,473
CZE,PISAREAD,BOY,MEANSCORE,A,2006,463
CZE,PISAREAD,BOY,MEANSCORE,A,2009,456
CZE,PISAREAD,BOY,MEANSCORE,A,2012,473.983
CZE,PISAREAD,BOY,MEANSCORE,A,2015,475
CZE,PISAREAD,GIRL,MEANSCORE,A,2000,510
CZE,PISAREAD,GIRL,MEANSCORE,A,2003,504
CZE,PISAREAD,GIRL,MEANSCORE,A,2006,509
CZE,PISAREAD,GIRL,MEANSCORE,A,2009,504
CZE,PISAREAD,GIRL,MEANSCORE,A,2012,512.79
CZE,PISAREAD,GIRL,MEANSCORE,A,2015,501
DNK,PISAREAD,BOY,MEANSCORE,A,2000,485
DNK,PISAREAD,BOY,MEANSCORE,A,2003,479
DNK,PISAREAD,BOY,MEANSCORE,A,2006,480
DNK,PISAREAD,BOY,MEANSCORE,A,2009,480
DNK,PISAREAD,BOY,MEANSCORE,A,2012,480.89
DNK,PISAREAD,BOY,MEANSCORE,A,2015,489
DNK,PISAREAD,GIRL,MEANSCORE,A,2000,510
DNK,PISAREAD,GIRL,MEANSCORE,A,2003,505
DNK,PISAREAD,GIRL,MEANSCORE,A,2006,509
DNK,PISAREAD,GIRL,MEANSCORE,A,2009,509
DNK,PISAREAD,GIRL,MEANSCORE,A,2012,511.529
DNK,PISAREAD,GIRL,MEANSCORE,A,2015,511
FIN,PISAREAD,BOY,MEANSCORE,A,2000,520
FIN,PISAREAD,BOY,MEANSCORE,A,2003,521
FIN,PISAREAD,BOY,MEANSCORE,A,2006,521
FIN,PISAREAD,BOY,MEANSCORE,A,2009,508
FIN,PISAREAD,BOY,MEANSCORE,A,2012,494.006
FIN,PISAREAD,BOY,MEANSCORE,A,2015,504
FIN,PISAREAD,GIRL,MEANSCORE,A,2000,571
FIN,PISAREAD,GIRL,MEANSCORE,A,2003,565
FIN,PISAREAD,GIRL,MEANSCORE,A,2006,572
FIN,PISAREAD,GIRL,MEANSCORE,A,2009,563
FIN,PISAREAD,GIRL,MEANSCORE,A,2012,555.708
FIN,PISAREAD,GIRL,MEANSCORE,A,2015,551
FRA,PISAREAD,BOY,MEANSCORE,A,2000,490
FRA,PISAREAD,BOY,MEANSCORE,A,2003,476
FRA,PISAREAD,BOY,MEANSCORE,A,2006,470
FRA,PISAREAD,BOY,MEANSCORE,A,2009,475
FRA,PISAREAD,BOY,MEANSCORE,A,2012,482.972
FRA,PISAREAD,BOY,MEANSCORE,A,2015,485
FRA,PISAREAD,GIRL,MEANSCORE,A,2000,519
FRA,PISAREAD,GIRL,MEANSCORE,A,2003,514
FRA,PISAREAD,GIRL,MEANSCORE,A,2006,505
